"","AnonId","mean_agree_validating","count_validations","mean_validated","count_writing","low_raw_agreement"
"1","102",0.938461538461538,65,1,14,"good"
"2","103",0.878787878787879,165,0.948717948717949,39,"good"
"3","104",NA,NA,0.666666666666667,3,"low"
"4","107",0.915254237288136,177,1,54,"good"
"5","108",0.893258426966292,178,1,45,"good"
"6","110",NA,NA,0.818181818181818,11,"good"
"7","111",0.886792452830189,53,0.85,20,"good"
"8","115",0.931428571428571,175,1,27,"good"
"9","116",1,12,NA,NA,"good"
"10","117",0.903225806451613,62,NA,NA,"good"
"11","119",0.833333333333333,6,NA,NA,"good"
"12","120",0.833333333333333,6,NA,NA,"good"
"13","123",0.904761904761905,168,0.857142857142857,14,"good"
"14","125",NA,NA,0.666666666666667,3,"low"
"15","127",0.841584158415842,101,0.948717948717949,39,"good"
"16","128",0.863636363636364,176,0.966666666666667,30,"good"
"17","129",NA,NA,0.666666666666667,3,"low"
"18","130",NA,NA,0.961538461538462,26,"good"
"19","131",0.8,40,0.875,8,"good"
"20","132",0.833333333333333,6,1,6,"good"
"21","133",0.905027932960894,179,0.939393939393939,33,"good"
"22","135",NA,NA,0.9375,32,"good"
"23","136",0.824858757062147,177,0.973684210526316,38,"good"
"24","138",0.74,50,0.733333333333333,15,"good"
"25","139",0.892045454545455,176,0.96969696969697,33,"good"
"26","201",0.878205128205128,156,0.882352941176471,51,"good"
"27","203",0.837209302325581,86,NA,NA,"good"
"28","205",0.833333333333333,6,NA,NA,"good"
"29","206",0.833333333333333,6,NA,NA,"good"
"30","209",0.6,5,NA,NA,"low"
"31","211",0.825581395348837,86,0.916666666666667,24,"good"
"32","214",0.807909604519774,177,0.909090909090909,33,"good"
"33","217",0.904761904761905,84,1,23,"good"
"34","219",0.785714285714286,56,NA,NA,"good"
"35","220",0.916666666666667,24,0.9,30,"good"
"36","221",NA,NA,1,6,"good"
"37","222",0.930817610062893,159,1,36,"good"
"38","224",1,6,NA,NA,"good"
"39","225",0.666666666666667,24,0.909090909090909,11,"low"
"40","226",0.833333333333333,18,0.833333333333333,30,"good"
"41","227",NA,NA,0.666666666666667,6,"low"
"42","229",0.797687861271676,173,0.766666666666667,30,"good"
"43","230",0.888268156424581,179,0.956521739130435,23,"good"
"44","231",0.875,136,0.782608695652174,46,"good"
"45","233",0.853146853146853,143,0.944444444444444,36,"good"
"46","234",1,13,0.916666666666667,12,"good"
"47","235",0.898305084745763,177,1,27,"good"
"48","236",0.859154929577465,142,0.95,40,"good"
"49","237",0.892307692307692,130,0.909090909090909,33,"good"
"50","304",0.8,5,NA,NA,"good"
"51","306",0.781021897810219,137,0.918918918918919,37,"good"
"52","307",0.796610169491525,59,0.696969696969697,33,"low"
"53","309",0.8125,176,0.943396226415094,53,"good"
"54","310",0.849315068493151,73,0.869565217391304,23,"good"
"55","311",0.941935483870968,155,0.882352941176471,17,"good"
"56","313",0.842105263157895,95,0.888888888888889,27,"good"
"57","315",0.865168539325843,89,0.666666666666667,3,"low"
"58","316",0.733333333333333,60,0.868421052631579,38,"good"
"59","318",1,6,NA,NA,"good"
"60","319",0.875,144,1,18,"good"
"61","321",0.740740740740741,27,NA,NA,"good"
"62","323",NA,NA,0.666666666666667,3,"low"
"63","324",0.944444444444444,36,0.833333333333333,6,"good"
"64","327",0.875,24,1,6,"good"
"65","328",0.833333333333333,12,NA,NA,"good"
"66","329",0.845588235294118,136,1,20,"good"
"67","331",0.739130434782609,69,0.94,50,"good"
"68","333",0.819672131147541,122,0.952380952380952,42,"good"
"69","336",0.821052631578947,95,0.903225806451613,31,"good"
"70","337",0.876470588235294,170,0.833333333333333,24,"good"
"71","339",0.881188118811881,101,0.916666666666667,36,"good"
"72","342",0.890909090909091,165,0.863636363636364,22,"good"
